UBIGEO;NOMBRE
010101;Amazonas, Chachapoyas, distrito: Chachapoyas
010102;Amazonas, Chachapoyas, distrito: Asunción
010103;Amazonas, Chachapoyas, distrito: Balsas
010104;Amazonas, Chachapoyas, distrito: Cheto
010105;Amazonas, Chachapoyas, distrito: Chiliquin
010106;Amazonas, Chachapoyas, distrito: Chuquibamba
010107;Amazonas, Chachapoyas, distrito: Granada
010108;Amazonas, Chachapoyas, distrito: Huancas
010109;Amazonas, Chachapoyas, distrito: La Jalca
010110;Amazonas, Chachapoyas, distrito: Leimebamba
010111;Amazonas, Chachapoyas, distrito: Levanto
010112;Amazonas, Chachapoyas, distrito: Magdalena
010113;Amazonas, Chachapoyas, distrito: Mariscal Castilla
010114;Amazonas, Chachapoyas, distrito: Molinopampa
010115;Amazonas, Chachapoyas, distrito: Montevideo
010116;Amazonas, Chachapoyas, distrito: Olleros
010117;Amazonas, Chachapoyas, distrito: Quinjalca
010118;Amazonas, Chachapoyas, distrito: San Francisco de Daguas
010119;Amazonas, Chachapoyas, distrito: San Isidro de Maino
010120;Amazonas, Chachapoyas, distrito: Soloco
010121;Amazonas, Chachapoyas, distrito: Sonche
010201;Amazonas, Bagua, distrito: Bagua
010202;Amazonas, Bagua, distrito: Aramango
010203;Amazonas, Bagua, distrito: Copallin
010204;Amazonas, Bagua, distrito: El Parco
010205;Amazonas, Bagua, distrito: Imaza
010206;Amazonas, Bagua, distrito: La Peca
010301;Amazonas, Bongara, distrito: Jumbilla
010302;Amazonas, Bongara, distrito: Chisquilla
010303;Amazonas, Bongara, distrito: Churuja
010304;Amazonas, Bongara, distrito: Corosha
010305;Amazonas, Bongara, distrito: Cuispes
010306;Amazonas, Bongara, distrito: Florida
010307;Amazonas, Bongara, distrito: Jazan
010308;Amazonas, Bongara, distrito: Recta
010309;Amazonas, Bongara, distrito: San Carlos
010310;Amazonas, Bongara, distrito: Shipasbamba
010311;Amazonas, Bongara, distrito: Valera
010312;Amazonas, Bongara, distrito: Yambrasbamba
010401;Amazonas, Condorcanqui, distrito: Nieva
010402;Amazonas, Condorcanqui, distrito: El Cenepa
010403;Amazonas, Condorcanqui, distrito: Rio Santiago
010501;Amazonas, Luya, distrito: Lamud
010502;Amazonas, Luya, distrito: Camporredondo
010503;Amazonas, Luya, distrito: Cocabamba
010504;Amazonas, Luya, distrito: Colcamar
010505;Amazonas, Luya, distrito: Conila
010506;Amazonas, Luya, distrito: Inguilpata
010507;Amazonas, Luya, distrito: Longuita
010508;Amazonas, Luya, distrito: Lonya Chico
010509;Amazonas, Luya, distrito: Luya
010510;Amazonas, Luya, distrito: Luya Viejo
010511;Amazonas, Luya, distrito: María
010512;Amazonas, Luya, distrito: Ocalli
010513;Amazonas, Luya, distrito: Ocumal
010514;Amazonas, Luya, distrito: Pisuquia
010515;Amazonas, Luya, distrito: Providencia
010516;Amazonas, Luya, distrito: San Cristobal
010517;Amazonas, Luya, distrito: San Francisco del Yeso
010518;Amazonas, Luya, distrito: San Jerónimo
010519;Amazonas, Luya, distrito: San Juan de Lopecancha
010520;Amazonas, Luya, distrito: Santa Catalina
010521;Amazonas, Luya, distrito: Santo Tomas
010522;Amazonas, Luya, distrito: Tingo
010523;Amazonas, Luya, distrito: Trita
010601;Amazonas, Rodríguez de Mendoza, distrito: San Nicolás
010602;Amazonas, Rodríguez de Mendoza, distrito: Chirimoto
010603;Amazonas, Rodríguez de Mendoza, distrito: Cochamal
010604;Amazonas, Rodríguez de Mendoza, distrito: Huambo
010605;Amazonas, Rodríguez de Mendoza, distrito: Limabamba
010606;Amazonas, Rodríguez de Mendoza, distrito: Longar
010607;Amazonas, Rodríguez de Mendoza, distrito: Mariscal Benavides
010608;Amazonas, Rodríguez de Mendoza, distrito: Milpuc
010609;Amazonas, Rodríguez de Mendoza, distrito: Omia
010610;Amazonas, Rodríguez de Mendoza, distrito: Santa Rosa
010611;Amazonas, Rodríguez de Mendoza, distrito: Totora
010612;Amazonas, Rodríguez de Mendoza, distrito: Vista Alegre
010701;Amazonas, Utcubamba, distrito: Bagua Grande
010702;Amazonas, Utcubamba, distrito: Cajaruro
010703;Amazonas, Utcubamba, distrito: Cumba
010704;Amazonas, Utcubamba, distrito: El Milagro
010705;Amazonas, Utcubamba, distrito: Jamalca
010706;Amazonas, Utcubamba, distrito: Lonya Grande
010707;Amazonas, Utcubamba, distrito: Yamon
020101;Áncash, Huaraz, distrito: Huaraz
020102;Áncash, Huaraz, distrito: Cochabamba
020103;Áncash, Huaraz, distrito: Colcabamba
020104;Áncash, Huaraz, distrito: Huanchay
020105;Áncash, Huaraz, distrito: Independencia
020106;Áncash, Huaraz, distrito: Jangas
020107;Áncash, Huaraz, distrito: La Libertad
020108;Áncash, Huaraz, distrito: Olleros
020109;Áncash, Huaraz, distrito: Pampas Grande
020110;Áncash, Huaraz, distrito: Pariacoto
020111;Áncash, Huaraz, distrito: Pira
020112;Áncash, Huaraz, distrito: Tarica
020201;Áncash, Aija, distrito: Aija
020202;Áncash, Aija, distrito: Coris
020203;Áncash, Aija, distrito: Huacllan
020204;Áncash, Aija, distrito: La Merced
020205;Áncash, Aija, distrito: Succha
020301;Áncash, Antonio Raymondi, distrito: Llamellin
020302;Áncash, Antonio Raymondi, distrito: Aczo
020303;Áncash, Antonio Raymondi, distrito: Chaccho
020304;Áncash, Antonio Raymondi, distrito: Chingas
020305;Áncash, Antonio Raymondi, distrito: Mirgas
020306;Áncash, Antonio Raymondi, distrito: San Juan de Rontoy
020401;Áncash, Asunción, distrito: Chacas
020402;Áncash, Asunción, distrito: Acochaca
020501;Áncash, Bolognesi, distrito: Chiquian
020502;Áncash, Bolognesi, distrito: Abelardo Pardo Lezameta
020503;Áncash, Bolognesi, distrito: Antonio Raymondi
020504;Áncash, Bolognesi, distrito: Aquia
020505;Áncash, Bolognesi, distrito: Cajacay
020506;Áncash, Bolognesi, distrito: Canis
020507;Áncash, Bolognesi, distrito: Colquioc
020508;Áncash, Bolognesi, distrito: Huallanca
020509;Áncash, Bolognesi, distrito: Huasta
020510;Áncash, Bolognesi, distrito: Huayllacayan
020511;Áncash, Bolognesi, distrito: La Primavera
020512;Áncash, Bolognesi, distrito: Mangas
020513;Áncash, Bolognesi, distrito: Pacllon
020514;Áncash, Bolognesi, distrito: San Miguel de Corpanqui
020515;Áncash, Bolognesi, distrito: Ticllos
020601;Áncash, Carhuaz, distrito: Carhuaz
020602;Áncash, Carhuaz, distrito: Acopampa
020603;Áncash, Carhuaz, distrito: Amashca
020604;Áncash, Carhuaz, distrito: Anta
020605;Áncash, Carhuaz, distrito: Ataquero
020606;Áncash, Carhuaz, distrito: Marcara
020607;Áncash, Carhuaz, distrito: Pariahuanca
020608;Áncash, Carhuaz, distrito: San Miguel de Aco
020609;Áncash, Carhuaz, distrito: Shilla
020610;Áncash, Carhuaz, distrito: Tinco
020611;Áncash, Carhuaz, distrito: Yungar
020701;Áncash, Carlos Fermín Fitzcarrald, distrito: San Luis
020702;Áncash, Carlos Fermín Fitzcarrald, distrito: San Nicolás
020703;Áncash, Carlos Fermín Fitzcarrald, distrito: Yauya
020801;Áncash, Casma, distrito: Casma
020802;Áncash, Casma, distrito: Buena Vista Alta
020803;Áncash, Casma, distrito: Comandante Noel
020804;Áncash, Casma, distrito: Yautan
020901;Áncash, Corongo, distrito: Corongo
020902;Áncash, Corongo, distrito: Aco
020903;Áncash, Corongo, distrito: Bambas
020904;Áncash, Corongo, distrito: Cusca
020905;Áncash, Corongo, distrito: La Pampa
020906;Áncash, Corongo, distrito: Yanac
020907;Áncash, Corongo, distrito: Yupan
021001;Áncash, Huari, distrito: Huari
021002;Áncash, Huari, distrito: Anra
021003;Áncash, Huari, distrito: Cajay
021004;Áncash, Huari, distrito: Chavin de Huantar
021005;Áncash, Huari, distrito: Huacachi
021006;Áncash, Huari, distrito: Huacchis
021007;Áncash, Huari, distrito: Huachis
021008;Áncash, Huari, distrito: Huantar
021009;Áncash, Huari, distrito: Masin
021010;Áncash, Huari, distrito: Paucas
021011;Áncash, Huari, distrito: Ponto
021012;Áncash, Huari, distrito: Rahuapampa
021013;Áncash, Huari, distrito: Rapayan
021014;Áncash, Huari, distrito: San Marcos
