VAR_COMPLETO;VAR;NUM_CATEGORIA;CATEGORIA
Vivienda.VAREA;VAREA;1;Urbano censal
Vivienda.VAREA;VAREA;2;Rural censal
Vivienda.ENCAREA;ENCAREA;1;Urbano encuesta
Vivienda.ENCAREA;ENCAREA;2;Rural encuesta
Vivienda.C2P2;C2P2;1;Ocupada, con personas presentes
Vivienda.C2P2;C2P2;2;Ocupada, con personas ausentes
Vivienda.C2P2;C2P2;3;Ocupada, de uso ocasional
Vivienda.C2P2;C2P2;4;Desocupada, en alquiler o venta
Vivienda.C2P2;C2P2;5;Desocupada, en construcción o reparación
Vivienda.C2P2;C2P2;6;Desocupada, abandonada o cerrada
Vivienda.C2P2;C2P2;7;Desocupada, otra causa
Vivienda.C2P3;C2P3;1;Ladrillo o bloque de cemento
Vivienda.C2P3;C2P3;2;Piedra o sillar con cal o cemento
Vivienda.C2P3;C2P3;3;Adobe
Vivienda.C2P3;C2P3;4;Tapia
Vivienda.C2P3;C2P3;5;Quincha (caña con barro)
Vivienda.C2P3;C2P3;6;Piedra con barro
Vivienda.C2P3;C2P3;7;Madera (pona, tornillo etc.)
Vivienda.C2P3;C2P3;8;Triplay / calamina / estera
Vivienda.C2P3;C2P3;9;Otro material
Vivienda.C2P4;C2P4;1;Concreto armado
Vivienda.C2P4;C2P4;2;Madera
Vivienda.C2P4;C2P4;3;Tejas
Vivienda.C2P4;C2P4;4;Planchas de calamina, fibra de cemento o similares
Vivienda.C2P4;C2P4;5;Caña o estera con torta de barro o cemento
Vivienda.C2P4;C2P4;6;Triplay / estera / carrizo
Vivienda.C2P4;C2P4;7;Paja, hoja de palmera y similares
Vivienda.C2P4;C2P4;8;Otro material
Vivienda.C2P5;C2P5;1;Parquet o madera pulida
Vivienda.C2P5;C2P5;2;Láminas asfálticas, vinílicos o similares
Vivienda.C2P5;C2P5;3;Losetas, terrazos, cerámicos o similares
Vivienda.C2P5;C2P5;4;Madera (pona, tornillo, etc.)
Vivienda.C2P5;C2P5;5;Cemento
Vivienda.C2P5;C2P5;6;Tierra
Vivienda.C2P5;C2P5;7;Otro material
Vivienda.C2P6;C2P6;1;Red pública dentro de la vivienda
Vivienda.C2P6;C2P6;2;Red pública fuera de la vivienda, pero dentro de la edificación
Vivienda.C2P6;C2P6;3;Pilón o pileta de uso público
Vivienda.C2P6;C2P6;4;Camión - cisterna u otro similar
Vivienda.C2P6;C2P6;5;Pozo (agua subterránea)
Vivienda.C2P6;C2P6;6;Manantial o puquio
Vivienda.C2P6;C2P6;7;Río, acequia, lago, laguna
Vivienda.C2P6;C2P6;8;Otro
Vivienda.C2P6;C2P6;10;Vecino
Vivienda.C2P7;C2P7;1;Sí tiene servicio de agua todos los días de la semana
Vivienda.C2P7;C2P7;2;No tiene servicio de agua todos los días de la semana
Vivienda.C2P7A;C2P7A;1;1 hora
Vivienda.C2P7A;C2P7A;2;2 horas
Vivienda.C2P7A;C2P7A;3;3 horas
Vivienda.C2P7A;C2P7A;4;4 horas
Vivienda.C2P7A;C2P7A;5;5 horas
Vivienda.C2P7A;C2P7A;6;6 horas
Vivienda.C2P7A;C2P7A;7;7 horas
Vivienda.C2P7A;C2P7A;8;8 horas
Vivienda.C2P7A;C2P7A;9;9 horas
Vivienda.C2P7A;C2P7A;10;10 horas
Vivienda.C2P7A;C2P7A;11;11 horas
Vivienda.C2P7A;C2P7A;12;12 horas
Vivienda.C2P7A;C2P7A;13;13 horas
Vivienda.C2P7A;C2P7A;14;14 horas
Vivienda.C2P7A;C2P7A;15;15 horas
Vivienda.C2P7A;C2P7A;16;16 horas
Vivienda.C2P7A;C2P7A;17;17 horas
Vivienda.C2P7A;C2P7A;18;18 horas
Vivienda.C2P7A;C2P7A;19;19 horas
Vivienda.C2P7A;C2P7A;20;20 horas
Vivienda.C2P7A;C2P7A;21;21 horas
Vivienda.C2P7A;C2P7A;22;22 horas
Vivienda.C2P7A;C2P7A;23;23 horas
Vivienda.C2P7A;C2P7A;24;24 horas
Vivienda.C2P7B;C2P7B;0;Ningún día
Vivienda.C2P7B;C2P7B;1;1 día
Vivienda.C2P7B;C2P7B;2;2 días
Vivienda.C2P7B;C2P7B;3;3 días
Vivienda.C2P7B;C2P7B;4;4 días
Vivienda.C2P7B;C2P7B;5;5 días
Vivienda.C2P7B;C2P7B;6;6 días
Vivienda.C2P7C;C2P7C;1;1 hora
Vivienda.C2P7C;C2P7C;2;2 horas
